"title,console"
"2 Games in 1 - Buscando a Nemo + Los Increibles","gba"
"Yu Yu Hakusho - Ghostfiles - Tournament Tactics","gba"
"Silent Scope","gba"
"Cruis'n Velocity","gba"
"2 Games in 1 - Monsters, Inc. + Finding Nemo","gba"
"Fairly OddParents!, The - Enter the Cleft","gba"
"Scooby-Doo","gba"
"Mat Hoffman's Pro BMX 2","gba"
"Mission Impossible - Operation Surma","gba"
"High Heat Major League Baseball 2002","gba"
"Baseball","gba"
"Game Boy Advance Video - Codename - Kids Next Door - Volume 1","gba"
"Justice League Heroes - The Flash","gba"
"No Rules - Get Phat","gba"
"NFL Blitz 20-03","gba"
"Yu-Gi-Oh! - Worldwide Edition - Stairway to the Destined Duel","gba"
"Medabots AX - Rokusho Ver.","gba"
"Snood","gba"
"Backyard Football 2006","gba"
"F1 2002","gba"
"Fire Pro Wrestling 2","gba"
"Casper","gba"
"LEGO Island 2 - The Brickster's Revenge","gba"
"Mucha Lucha! - Mascaritas of the Lost Code","gba"
"Final Fight One","gba"
"Tiny Toon Adventures - Wacky Stackers","gba"
"ATV - Quad Power Racing","gba"
"Pokemon - Edicion Rojo Fuego","gba"
"Planet Monsters","gba"
"King of Fighters EX, The - NeoBlood","gba"
"Crouching Tiger, Hidden Dragon","gba"
"Super Hornet FA 18F","gba"
"WTA Tour Tennis","gba"
"Rugrats - I Gotta Go Party","gba"
"Pocket Professor - Kwik Notes - Vol. 1","gba"
"GameShark GBA","gba"
"Totally Spies! 2 - Undercover","gba"
"2 Games in 1 - Scooby-Doo! - Mystery Mayhem + Scooby-Doo and the Cyber Chase","gba"
"Arctic Tale","gba"
"Uno Free Fall","gba"
"Sims, The - Bustin' Out","gba"
"Medal of Honor - Underground","gba"
"Zatchbell! - Electric Arena","gba"
"Multiple Interrupt Sample by Nintendo","gba"
"Harry Potter and the Sorcerer's Stone","gba"
"Super Street Fighter II Turbo - Revival","gba"
"Muppet Pinball Mayhem","gba"
"Magical Quest 3 Starring Mickey & Donald","gba"
"Bionicle - Maze of Shadows","gba"
"Game Boy Advance Video - SpongeBob SquarePants - Volume 3","gba"
"Shrek 2","gba"
"Sims, The - Bustin' Out","gba"
"LEGO Island - Xtreme Stunts","gba"
"Increibles, Los","gba"
"Nicktoons Racing","gba"
"Space Invaders","gba"
"Donkey Kong Country 3","gba"
"Sky Dancers - They Magically Fly!","gba"
"Madden NFL 2005","gba"
"Klonoa 2 - Dream Champ Tournament","gba"
"Dragon Ball Z - The Legacy of Goku","gba"
"BMX Trick Racer","gba"
"Crash of the Titans","gba"
"Ford Racing 3","gba"
"Harry Potter and the Prisoner of Azkaban","gba"
"Multi-Play SIO Sample by Nintendo","gba"
"Classic NES Series - Super Mario Bros.","gba"
"Ultimate Card Games","gba"
"Chicken Shoot 2","gba"
"Mega Man & Bass","gba"
"Scooby-Doo","gba"
"Yu-Gi-Oh! - Reshef of Destruction","gba"
"SpongeBob SquarePants Movie, The","gba"
"Super Mario Bros.","gba"
"Ecks vs Sever","gba"
"Matchbox Cross Town Heroes","gba"
"3 Games in One! - Yars' Revenge + Asteroids + Pong","gba"
"Barbie and the Magic of Pegasus","gba"
"Motocross Maniacs Advance","gba"
"3 Games in One! - Breakout + Centipede + Warlords","gba"
"Whac-A-Mole","gba"
"Spy Muppets - License to Croak","gba"
"007 - Everything or Nothing","gba"
"Peter Pan - Return to Neverland","gba"
"Disney Princess","gba"
"Medabots - Metabee","gba"
"Franklin the Turtle","gba"
"Kill Switch","gba"
"Gunstar Super Heroes","gba"
"Golden Sun - The Lost Age","gba"
"SpongeBob SquarePants - SuperSponge","gba"
"Global Star - Sudoku Fever","gba"
"Extreme Ghostbusters - Code Ecto-1","gba"
"Madden NFL 2003","gba"
"Back to Stone","gba"
"Nicktoons Unite!","gba"
"Snood 2 - On Vacation","gba"
"Backyard Sports - Basketball 2007","gba"
"It's Mr. Pants","gba"
"Top Spin 2","gba"
"Game & Watch Gallery 4","gba"
"Mary-Kate and Ashley Sweet 16 - Licensed to Drive","gba"
"Cabbage Patch Kids - The Patch Puppy Rescue","gba"
"Ice Age 2 - The Meltdown","gba"
"3 Games in One! - Super Breakout + Millipede + Lunar Lander","gba"
"Elf - The Movie","gba"
"Defender of the Crown","gba"
"Yu-Gi-Oh! Double Pack","gba"
"Motoracer Advance","gba"
"Golden Sun","gba"
"Game Boy Advance Video - Pokemon - Volume 2","gba"
"Tiny Toon Adventures - Scary Dreams","gba"
"Kingdom Hearts - Chain of Memories","gba"
"2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue","gba"
"Mega Man Battle Network 5 - Team Proto Man","gba"
"Game Boy Advance Video - Disney Channel Collection - Volume 1","gba"
"Dexter's Laboratory - Deesaster Strikes!","gba"
"Pirates of the Caribbean - Dead Man's Chest","gba"
"M&M's - Break 'em","gba"
"Crash Nitro Kart","gba"
"Reintr Sample by Nintendo","gba"
"Britney's Dance Beat","gba"
"All Grown Up! - Express Yourself","gba"
"Ghost Rider","gba"
"Godzilla - Domination!","gba"
"Mega Man Battle Network 5 - Team Proto Man","gba"
"Shaun Palmer's Pro Snowboarder","gba"
"Dungeons & Dragons - Eye of the Beholder","gba"
"F-Zero - Maximum Velocity","gba"
"2 Games in One! - Paperboy + Rampage","gba"
"Atari Anniversary Advance","gba"
"Care Bears - The Care Quests","gba"
"Yu-Gi-Oh! Double Pack 2","gba"
"Yoshi - Topsy-Turvy","gba"
"BattleBots - Design & Destroy","gba"
"Kao the Kangaroo","gba"
"Driven","gba"
"Totally Spies!","gba"
"Mega Man Battle Chip Challenge","gba"
"Duel Masters - Shadow of the Code","gba"
"Wings","gba"
"Super Mario Advance 4 - Super Mario Bros. 3","gba"
"Suite Life of Zack & Cody, The - Tipton Caper","gba"
"Pokemon - LeafGreen Version","gba"
"Classic NES Series - Pac-Man","gba"
"That's So Raven","gba"
"Sims 2, The","gba"
"Game Boy Advance Video - Sonic X - Volume 1","gba"
"Madagascar","gba"
"Dual Blades","gba"
"Teen Titans","gba"
"Game Boy Advance Video - The Adventures of Jimmy Neutron Boy Genius - Volume 1","gba"
"Rayman Advance","gba"
"Cat in the Hat by Dr. Seuss, The","gba"
"Donkey Kong Country","gba"
"WWE - Survivor Series","gba"
"Over the Hedge - Hammy Goes Nuts!","gba"
"Fairly OddParents!, The - Breakin' da Rules","gba"
"Madagascar - Operation Penguin","gba"
"Tom and Jerry Tales","gba"
"Duel Masters - Sempai Legends","gba"
"Reign of Fire","gba"
"Petz - Hamsterz Life 2","gba"
"2-in-1 Fun Pack - Shrek 2 + Madagascar - Operation Penguin","gba"
"Boktai - The Sun Is in Your Hand","gba"
"Super Mario Advance","gba"
"ESPN Winter X-Games Snowboarding 2002","gba"
"NFL Blitz 20-02","gba"
"2 Games in 1 - Disney Princesas + Hermano Oso","gba"
"ESPN International Winter Sports 2002","gba"
"Ant Bully, The","gba"
"WWF - Road to WrestleMania","gba"
"Aladdin","gba"
"Unfabulous","gba"
"Mega Man Battle Network 2","gba"
"Mummy, The","gba"
"Backyard Baseball 2006","gba"
"2 in 1 Game Pack - Spider-Man - Mysterio's Menace + X2 - Wolverine's Revenge","gba"
"Fantastic 4","gba"
"SSX Tricky","gba"
"Paws & Claws - Best Friends - Dogs & Cats","gba"
"Word Safari - The Friendship Totems","gba"
"2006 FIFA World Cup - Germany 2006","gba"
"Mega Man Battle Network 6 - Cybeast Gregar","gba"
"Gadget Racers","gba"
"Rayman - Raving Rabbids","gba"
"Advance Wars 2 - Black Hole Rising","gba"
"Little Einsteins","gba"
"Stuart Little 2","gba"
"Legend of Spyro, The - A New Beginning","gba"
"GBA Movie Player 2 CF","gba"
"Barbie as the Island Princess","gba"
"Baldur's Gate - Dark Alliance","gba"
"Weekend Miljonairs","gba"
"Turbo Turtle Adventure","gba"
"Madden NFL 2002","gba"
"Donkey Kong Country 2","gba"
"Sonic Advance 2","gba"
"Classic NES Series - Donkey Kong","gba"
"Gem Smashers","gba"
"Disney Sports - Snowboarding","gba"
"Sea Trader - Rise of Taipan","gba"
"Mega Man Battle Network 3 - Blue Version","gba"
"Barbie Superpack","gba"
"Game & Watch Gallery 4","gba"
"WWE - Road to WrestleMania X8","gba"
"Lion King 1 1-2, The","gba"
"Flushed Away","gba"
"Lady Sia","gba"
"NBA Jam 2002","gba"
"Spy Kids Challenger","gba"
"Lord of the Rings, The - The Third Age","gba"
"Final Fantasy Tactics Advance","gba"
"GameShark GBA","gba"
"Sound of Thunder, A","gba"
"One Piece","gba"
"Tony Hawk's American Sk8land","gba"
"Tweety and the Magic Gems","gba"
"e-Reader","gba"
"Midnight Club - Street Racing","gba"
"Pokemon - Sapphire Version","gba"
"F-Zero - Maximum Velocity","gba"
"Tak 2 - The Staff of Dreams","gba"
"Yu-Gi-Oh! GX - Duel Academy","gba"
"Bionicle Heroes","gba"
"Backyard Sports - Football 2007","gba"
"That's So Raven 2 - Supernatural Style","gba"
"Davis Cup","gba"
"Castlevania - Harmony of Dissonance","gba"
"Ultimate Winter Games","gba"
"Samurai Deeper Kyo","gba"
"Barbie - The Princess and the Pauper","gba"
"Land Before Time, The - Into the Mysterious Beyond","gba"
"Wario Land 4","gba"
"Agassi Tennis Generation","gba"
"Crash Superpack","gba"
"Mega Man Zero 2","gba"
"Teenage Mutant Ninja Turtles Double Pack","gba"
"Gumby vs. the Astrobots","gba"
"Tower SP, The","gba"
"2 in 1 Game Pack - Tony Hawk's Underground + Kelly Slater's Pro Surfer","gba"
"Dragon Ball Z - Buu's Fury","gba"
"FIFA Soccer 2004","gba"
"WarioWare, Inc. - Mega Microgame$!","gba"
"Strawberry Shortcake - Summertime Adventure","gba"
"Rugrats - Travesuras en el Castillo","gba"
"Drome Racers","gba"
"X-Bladez - Inline Skater","gba"
"Pocky & Rocky with Becky","gba"
"Overlay Sample by Nintendo","gba"
"Harry Potter and the Goblet of Fire","gba"
"Sports Illustrated for Kids - Football","gba"
"Mega Man Battle Network 6 - Cybeast Falzar","gba"
"Big Mutha Truckers","gba"
"Sum of All Fears, The","gba"
"Fire Emblem","gba"
"Driv3r","gba"
"SSX 3","gba"
"Juka and the Monophonic Menace","gba"
"Shaman King - Master of Spirits","gba"
"Over the Hedge","gba"
"Hi Hi Puffy AmiYumi - Kaznapped!","gba"
"Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change","gba"
"Battle B-Daman - Fire Spirits!","gba"
"Game Boy Advance Video - SpongeBob SquarePants - Volume 1","gba"
"Rebelstar - Tactical Command","gba"
"Classic NES Series - Dr. Mario","gba"
"Hot Wheels - Velocity X","gba"
"Robotech - The Macross Saga","gba"
"Zoids Legacy","gba"
"Tarzan - Return to the Jungle","gba"
"Summon Night - Swordcraft Story 2","gba"
"Robots","gba"
"2-in-1 Fun Pack - Shrek 2 + Madagascar","gba"
"Pac-Man Collection","gba"
"Kirby & the Amazing Mirror","gba"
"Pac-Man Collection","gba"
"Backyard Hockey","gba"
"International Karate Plus","gba"
"Game Boy Advance Video - Disney Channel Collection - Volume 2","gba"
"Aggressive Inline","gba"
"Tactics Ogre - The Knight of Lodis","gba"
"Trollz - Hair Affair!","gba"
"Game Boy Advance Video - Dora the Explorer - Volume 1","gba"
"Monster Truck Madness","gba"
"Game Boy Advance Video - Cartoon Network Collection - Limited Edition","gba"
"Butt-Ugly Martians - B.K.M. Battles","gba"
"Boxing Fever","gba"
"Ultimate Puzzle Games","gba"
"Spyro Superpack","gba"
"Monopoly","gba"
"GT Advance 3 - Pro Concept Racing","gba"
"Extreme Skate Adventure","gba"
"Madden NFL 2004","gba"
"Barnyard","gba"
"Dogz 2","gba"
"Final Fantasy I & II - Dawn of Souls","gba"
"Blades of Thunder","gba"
"Monster House","gba"
"Sega Arcade Gallery","gba"
"Game Boy Advance Video - Cartoon Network Collection - Premium Edition","gba"
"Mega Man Battle Network 6 - Cybeast Falzar","gba"
"Namco Museum - 50th Anniversary","gba"
"Paws & Claws - Pet Resort","gba"
"BattleBots - Beyond the BattleBox","gba"
"Around the World in 80 Days","gba"
"Breath of Fire","gba"
"Popeye - Rush for Spinach","gba"
"Fairly OddParents!, The - Clash with the Anti-World","gba"
"GT Advance - Championship Racing","gba"
"Starsky & Hutch","gba"
"Disney Princesas","gba"
"ATV - Thunder Ridge Riders","gba"
"Minority Report - Everybody Runs","gba"
"Spirits & Spells","gba"
"ChuChu Rocket!","gba"
"Greg Hastings' Tournament Paintball Max'd","gba"
"Mighty Beanz Pocket Puzzles","gba"
"Game Boy Advance Video - Cartoon Network Collection - Volume 1","gba"
"2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force","gba"
"Powerpuff Girls, The - Him and Seek","gba"
"Rugrats - Go Wild","gba"
"Road Rash - Jailbreak","gba"
"Spider-Man","gba"
"Breath of Fire II","gba"
"Double Dragon Advance","gba"
"Dragon Ball Z - The Legacy of Goku II","gba"
"Ballistic - Ecks vs. Sever","gba"
"Hamtaro - Ham-Ham Heartbreak","gba"
"Finding Nemo - The Continuing Adventures","gba"
"Dragon Tales - Dragon Adventures","gba"
"Dr. Sudoku","gba"
"Gekido Advance - Kintaro's Revenge","gba"
"ESPN X-Games Skateboarding","gba"
"Ripping Friends, The","gba"
"Tony Hawk's Underground","gba"
"Ed, Edd n Eddy - Jawbreakers!","gba"
"Classic NES Series - Castlevania","gba"
"Dinotopia - The Timestone Pirates","gba"
"Capcom Classics Mini Mix","gba"
"Legend of Spyro, The - The Eternal Night","gba"
"Castlevania - Circle of the Moon","gba"
"Crash & Spyro Superpack - Spyro Orange - The Cortex Conspiracy + Crash Bandicoot Purple - Ripto's Rampage","gba"
"Pokemon - Emerald Version","gba"
"Namco Museum","gba"
"Disney's Game + TV Episode - Lizzie McGuire 2 - Lizzie Diaries","gba"
"Star X","gba"
"Backyard Football","gba"
"Cartoon Network Speedway","gba"
"F-Zero - GP Legend","gba"
"Mega Man Battle Network 2","gba"
"Dead to Rights","gba"
"Dexter's Laboratory - Deesaster Strikes!","gba"
"Mat Hoffman's Pro BMX","gba"
"Dragon Ball Z - Supersonic Warriors","gba"
"Kelly Slater's Pro Surfer","gba"
"Bratz","gba"
"Planet of the Apes","gba"
"Lord of the Rings, The - The Two Towers","gba"
"TMNT","gba"
"Top Gear Rally","gba"
"Mega Man Battle Network","gba"
"Shamu's Deep Sea Adventures","gba"
"F24 Stealth Fighter","gba"
"Simpsons, The - Road Rage","gba"
"Avatar - The Last Airbender - The Burning Earth","gba"
"Hot Wheels - World Race","gba"
"2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway","gba"
"Mega Man Battle Network 4 - Red Sun","gba"
"Clu Clu Land","gba"
"Smashing Drive","gba"
"Klonoa - Empire of Dreams","gba"
"Nicktoons - Freeze Frame Frenzy","gba"
"Power Rangers S.P.D.","gba"
"Nintendogs + Super Mario 64 DS - Trainer Expansion for NDS","gba"
"Yu-Gi-Oh! - 7 Trials to Glory - World Championship Tournament 2005","gba"
"2 Game Pack! - Uno + Skip-Bo","gba"
"Contra Advance - The Alien Wars EX","gba"
"Game Boy Advance Video - Cartoon Network Collection - Volume 2","gba"
"Mario Pinball Land","gba"
"Three-in-One Pack - Risk + Battleship + Clue","gba"
"Balloon Fight","gba"
"Arthur and the Invisibles","gba"
"LEGO Star Wars - The Video Game","gba"
"Mega Man Battle Network 2","gba"
"Ty the Tasmanian Tiger 3 - Night of the Quinkan","gba"
"Yoshi's Cookie","gba"
"Need for Speed - Most Wanted","gba"
"3 Game Pack! - Candy Land + Chutes and Ladders + Original Memory Game","gba"
"Little Mermaid, The - Magic in Two Kingdoms","gba"
"Madagascar - Operacion Pinguino","gba"
"Scooby-Doo 2 - Monsters Unleashed","gba"
"James Pond - Codename Robocod","gba"
"Sword of Mana","gba"
"Deal or No Deal","gba"
"Spy Kids 3-D - Game Over","gba"
"Rescue Heroes - Billy Blazes!","gba"
"Shin chan - Aventuras en Cineland","gba"
"Scrabble Blast!","gba"
"Masters of the Universe He-Man - Power of Grayskull","gba"
"Spyro Orange - The Cortex Conspiracy","gba"
"Shaman King - Legacy of the Spirits - Sprinting Wolf","gba"
"Lara Croft Tomb Raider - Legend","gba"
"Noddy - A Day in Toyland","gba"
"Spyro Orange - The Cortex Conspiracy","gba"
"Kim Possible - Revenge of Monkey Fist","gba"
"Buffy the Vampire Slayer - Wrath of the Darkhul King","gba"
"Three Stooges, The","gba"
"High School Musical - Livin' the Dream","gba"
"FIFA Soccer 2003","gba"
"Mario Golf - Advance Tour","gba"
"ESPN Final Round Golf 2002","gba"
"Soccer","gba"
"2 Games in One! - Gauntlet + Rampart","gba"
"Pitfall - The Mayan Adventure","gba"
"Extreme Skate Adventure","gba"
"Need for Speed - Underground","gba"
"Meet the Robinsons","gba"
"Bratz - Babyz","gba"
"Crash Bandicoot 2 - N-Tranced","gba"
"Ratatouille","gba"
"Gauntlet - Dark Legacy","gba"
"Road Trip - Shifting Gears","gba"
"Game Boy Advance Video - Dragon Ball GT - Volume 1","gba"
"Pokemon - Sapphire Version","gba"
"Super Puzzle Fighter II Turbo","gba"
"Mega Man Battle Network 4 - Red Sun","gba"
"Paard & Pony - Paard in Galop","gba"
"Mike Tyson Boxing","gba"
"Mega Man Battle Network 4 - Blue Moon","gba"
"Backyard Skateboarding","gba"
"Sega Rally Championship","gba"
"Tom and Jerry in Infurnal Escape","gba"
"Salt Lake 2002","gba"
"Colin McRae Rally 2.0","gba"
"David Beckham Soccer","gba"
"Uno 52","gba"
"Pokemon - Edicion Rubi","gba"
"Power Rangers - Ninja Storm","gba"
"Digimon Racing","gba"
"Little League Baseball 2002","gba"
"Konami Collector's Series - Arcade Advanced","gba"
"Pocket Dogs","gba"
"Quad Desert Fury","gba"
"Incredible Hulk, The","gba"
"Earthworm Jim","gba"
"2 Games in 1 - Disney Princesas + Lizzie McGuire","gba"
"Jungle Book, The","gba"
"Tak and the Power of Juju","gba"
"2 Games in 1 - SpongeBob SquarePants - Revenge of the Flying Dutchman + SpongeBob SquarePants - SuperSponge","gba"
"2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race","gba"
"SD Gundam Force","gba"
"Battle B-Daman","gba"
"2 Games in 1 - Quad Desert Fury + Monster Trucks","gba"
"Game Boy Advance Video - Pokemon - Volume 4","gba"
"Medabots - Metabee","gba"
"Ultimate Muscle - The Kinnikuman Legacy - The Path of the Superhero","gba"
"Contra Advance - The Alien Wars EX","gba"
"Let's Ride! - Dreamer","gba"
"Lizzie McGuire 2 - Lizzie Diaries","gba"
"Aero the Acro-Bat - Rascal Rival Revenge","gba"
"Resident Evil 2","gba"
"Teenage Mutant Ninja Turtles 2 - Battle Nexus","gba"
"Mega Man Battle Network","gba"
"Legend of Zelda, The - The Minish Cap","gba"
"Dave Mirra Freestyle BMX 3","gba"
"Disney Princess - Royal Adventure","gba"
"Mortal Kombat - Deadly Alliance","gba"
"Mario & Luigi - Superstar Saga","gba"
"Spider-Man 3","gba"
"Urbz, The - Sims in the City","gba"
"Killer 3D Pool","gba"
"Harlem Globetrotters - World Tour","gba"
"Hugo - The Evil Mirror Advance","gba"
"2 in 1 Game Pack - Shrek 2 + Shark Tale","gba"
"WarioWare - Twisted!","gba"
"Sonic Pinball Party","gba"
"Fire Emblem - The Sacred Stones","gba"
"Mary-Kate and Ashley - Girls Night Out","gba"
"Mario Kart - Super Circuit","gba"
"Yu-Gi-Oh! - Destiny Board Traveler","gba"
"Sims 2, The - Pets","gba"
"X-Men - The Official Game","gba"
"Charlie and the Chocolate Factory","gba"
"Kirby - Nightmare in Dream Land","gba"
"Boktai - The Sun Is in Your Hand","gba"
"Boktai 2 - Solar Boy Django","gba"
"Top Gun - Combat Zones","gba"
"Monster Jam - Maximum Destruction","gba"
"Tringo","gba"
"Ozzy & Drix","gba"
"Advance Guardian Heroes","gba"
"Frogger's Journey - The Forgotten Relic","gba"
"LEGO Star Wars II - The Original Trilogy","gba"
"Ms. Pac-Man - Maze Madness","gba"
"Crazy Taxi - Catch a Ride","gba"
"Rocket Power - Zero Gravity Zone","gba"
"Ever Girl","gba"
"DemiKids - Light Version","gba"
"SpongeBob SquarePants - Lights, Camera, Pants!","gba"
"Rayman - 10th Anniversary","gba"
"Kong - The Animated Series","gba"
"M&M's - Blast!","gba"
"Cabela's Big Game Hunter - 2005 Adventures","gba"
"American Tail, An - Fievel's Gold Rush","gba"
"Jet Grind Radio","gba"
"Game Boy Advance Video - Nicktoons Collection - Volume 2","gba"
"Ace Combat Advance","gba"
"Legend of Zelda, The - A Link to the Past & Four Swords","gba"
"Thunderbirds","gba"
"Shaman King - Legacy of the Spirits - Soaring Hawk","gba"
"Dora the Explorer - Super Star Adventures!","gba"
"Castlevania - Circle of the Moon","gba"
"Dr. Mario","gba"
"Advance Wars","gba"
"Mega Man Zero 4","gba"
"Metroid Fusion","gba"
"Scooby-Doo! - Unmasked","gba"
"Advance Wars 2 - Black Hole Rising","gba"
"Advance Wars","gba"
"Super Dropzone - Intergalactic Rescue Mission","gba"
"Animal Snap - Rescue Them 2 by 2","gba"
"Army Men Advance","gba"
"Space Channel 5 - Ulala's Cosmic Attack","gba"
"Shrek - Reekin' Havoc","gba"
"2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race","gba"
"Cabela's Big Game Hunter","gba"
"Spyro - Season of Ice","gba"
"Monster Trucks Mayhem","gba"
"Digimon - Battle Spirit 2","gba"
"Madden NFL 06","gba"
"Ready 2 Rumble Boxing - Round 2","gba"
"Game Boy Advance Video - Cartoon Network Collection - Platinum Edition","gba"
"Lord of the Rings, The - The Return of the King","gba"
"Hello Kitty - Happy Party Pals","gba"
"Star Wars Trilogy - Apprentice of the Force","gba"
"Caesars Palace Advance - Millennium Gold Edition","gba"
"Game Boy Advance Video - The Proud Family - Volume 1","gba"
"Jackie Chan Adventures - Legend of the Darkhand","gba"
"Spyro - Attack of the Rhynocs","gba"
"Donkey Kong 3","gba"
"Scooby-Doo! - Mystery Mayhem","gba"
"Game Boy Advance Video - Shrek","gba"
"Drake & Josh","gba"
"Super Mario Advance 3 - Yoshi's Island","gba"
"Jimmy Neutron Boy Genius","gba"
"Pac-Man World 2","gba"
"Tony Hawk's Downhill Jam","gba"
"Summon Night - Swordcraft Story","gba"
"American Idol","gba"
"Shin chan contra los Munecos de Shock Gahn","gba"
"Dora the Explorer Double Pack","gba"
"Chessmaster","gba"
"Advance Wars","gba"
"Super Robot Taisen - Original Generation 2","gba"
"Super Ghouls'n Ghosts","gba"
"NASCAR Heat 2002","gba"
"Naruto - Ninja Council 2","gba"
"Robot Wars - Advanced Destruction","gba"
"Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The","gba"
"Castlevania Double Pack","gba"
"Dave Mirra Freestyle BMX 2","gba"
"Medabots - Metabee","gba"
"Top Gear GT Championship","gba"
"Mega Man Battle Chip Challenge","gba"
"Vecinos Invasores","gba"
"Samurai Jack - The Amulet of Time","gba"
"Prince of Persia - The Sands of Time","gba"
"Lara Croft Tomb Raider - The Prophecy","gba"
"Barbie Horse Adventures - Blue Ribbon Race","gba"
"Wade Hixton's Counter Punch","gba"
"Monster! Bass Fishing","gba"
"Finding Nemo","gba"
"Rayman - Hoodlum's Revenge","gba"
"Tokyo Xtreme Racer Advance","gba"
"Dexter's Laboratory - Chess Challenge","gba"
"AirForce Delta Storm","gba"
"Yu-Gi-Oh! - The Eternal Duelist Soul","gba"
"Bratz - The Movie","gba"
"Shrek - Swamp Kart Speedway","gba"
"Bible Game, The","gba"
"Wild Thornberrys, The - Chimp Chase","gba"
"Sportsman's Pack","gba"
"Tales of Phantasia","gba"
"Fire Emblem - The Sacred Stones","gba"
"CT Special Forces 2 - Back in the Trenches","gba"
"Midway's Greatest Arcade Hits","gba"
"R-Type III - The Third Lightning","gba"
"Pokemon - LeafGreen Version","gba"
"High Heat Major League Baseball 2003","gba"
"Spyro 2 - Season of Flame","gba"
"Pokemon - Aurora Ticket Distribution","gba"
"Proud Family, The","gba"
"Mega Man & Bass","gba"
"Bionicle - Matoran Adventures","gba"
"Zone of the Enders - The Fist of Mars","gba"
"Grand Theft Auto Advance","gba"
"FIFA Soccer 06","gba"
"SimCity 2000","gba"
"Beyblade V-Force - Ultimate Blader Jam","gba"
"Tennis","gba"
"Racing Gears Advance","gba"
"WinX Club","gba"
"Mech Platoon","gba"
"NHL Hitz 20-03","gba"
"Pokemon - Ruby Version","gba"
"Crash & Spyro Superpack - Spyro - Season of Ice + Crash Bandicoot - The Huge Adventure","gba"
"Banjo-Kazooie - Grunty's Revenge","gba"
"Winnie the Pooh's Rumbly Tumbly Adventure","gba"
"Batman Begins","gba"
"Hey Arnold! - The Movie","gba"
"Peter Pan - The Motion Picture Event","gba"
"LEGO Racers 2","gba"
"Ed, Edd n Eddy - Jawbreakers!","gba"
"World Championship Poker","gba"
"NHL 2002","gba"
"Worms World Party","gba"
"Pokemon - Edicion Esmeralda","gba"
"Legends of Wrestling II","gba"
"Rock n' Roll Racing","gba"
"Rave Master - Special Attack Force!","gba"
"Urban Yeti!","gba"
"Harvest Moon - Friends of Mineral Town","gba"
"Land Before Time, The","gba"
"Batman - Rise of Sin Tzu","gba"
"FIFA Soccer 07","gba"
"Pixeline i Pixieland","gba"
"Shrek - Super Slam","gba"
"Dokapon","gba"
"Game Boy Advance Video - The Fairly OddParents! - Volume 2","gba"
"X-Men - Reign of Apocalypse","gba"
"Castlevania - Aria of Sorrow","gba"
"Quiere Ser Millonario","gba"
"Mega Man Zero","gba"
"Wild Thornberrys Movie, The","gba"
"Game Boy Advance Video - Pokemon - Volume 3","gba"
"Super Monkey Ball Jr.","gba"
"Jurassic Park III - Park Builder","gba"
"ZooCube","gba"
"Jazz Jackrabbit","gba"
"VeggieTales - LarryBoy and the Bad Apple","gba"
"Game Boy Advance Video - Cartoon Network Collection - Special Edition","gba"
"Street Racing Syndicate","gba"
"Super Mario Advance","gba"
"Stadium Games","gba"
"Pinobee - Wings of Adventure","gba"
"Prehistorik Man","gba"
"CIMA - The Enemy","gba"
"Tony Hawk's Pro Skater 3","gba"
"Wolfenstein 3D","gba"
"Math Patrol - The Kleptoid Threat","gba"
"Classic NES Series - Ice Climber","gba"
"Madden NFL 07","gba"
"Mega Man Battle Network 3 - White Version","gba"
"Frogger's Adventures 2 - The Lost Wand","gba"
"Metroid - Zero Mission","gba"
"Karnaaj Rally","gba"
"Family Feud","gba"
"Mijn Dierenpraktijk","gba"
"Monster Rancher Advance","gba"
"Super Duper Sumos","gba"
"Bomberman Max 2 - Blue Advance","gba"
"2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Desatado","gba"
"River City Ransom EX","gba"
"Iridion 3D","gba"
"Ultimate Brain Games","gba"
"Star Wars - Episode II - Attack of the Clones","gba"
"Donkey Kong Jr.","gba"
"Hot Wheels - All Out","gba"
"Hamtaro - Ham-Ham Games","gba"
"Bionicle","gba"
"Santa Clause 3, The - The Escape Clause","gba"
"Invincible Iron Man, The","gba"
"Blib Sample by Nintendo","gba"
"Baseball Advance","gba"
"Rampage - Puzzle Attack","gba"
"Spy Hunter","gba"
"Classic NES Series - Xevious","gba"
"Drill Dozer","gba"
"Lost Vikings, The","gba"
"Power Rangers - Wild Force","gba"
"Golf","gba"
"Fortress","gba"
"Backyard Baseball","gba"
"Pac-Man Pinball Advance","gba"
"Pinball","gba"
"Harry Potter and the Chamber of Secrets","gba"
"Shining Force - Resurrection of the Dark Dragon","gba"
"Mega Man Battle Network 3 - White Version","gba"
"Mega Man Battle Network 5 - Team Colonel","gba"
"Zapper - One Wicked Cricket!","gba"
"Sonic Advance 3","gba"
"Duel Masters - Kaijudo Showdown","gba"
"Pink Panther - Pinkadelic Pursuit","gba"
